Generate Grid,Apply Rules,Update Birds,Gen Render Instances,Clear Grid,Add Instances,Upload instances to GPU,Render Forward,MainLoop,ProfilerPrintTimeStamps,
13520799,1448143,16150241,22903962,5105001,57686108,1938356,228475,86376240,2879711,
14322404,1489435,16229717,22919761,4997146,58475022,1732229,185555,85677828,2901726,
15129855,1537128,16444243,22937669,5449878,59967750,2246085,398231,85532826,2983051,
16607487,1561104,16522905,22970377,5017089,61125147,1875271,184778,123723412,2885593,
16028770,1569059,16465370,23017219,4977832,60496480,1848557,188071,92717374,3081250,
16433402,1602248,16451458,22883797,5097712,60872289,1862543,201428,92732582,3129645,
15965611,1609204,16634016,22838028,4935689,60380374,1693231,182891,90985923,3050946,
16333428,1529099,16453678,22914581,5040954,60748487,1975578,254560,91846838,2877417,
16432440,1566728,16475471,22849313,4986379,60749523,1812149,190291,89933161,3066006,
17413532,1536758,16656623,22861967,5408364,62347294,2027748,202723,129782901,3159579,
16395329,1631219,16713381,22867147,4937095,60920241,1804712,195027,93064434,3028747,
16439877,1623634,16636643,22913064,4998367,60995536,1894585,209642,93262274,3105595,
16244924,1535389,16493268,22885610,5355750,60987359,1990045,347504,91943705,3094754,
16698951,1570946,16623841,22899596,4975242,61205844,1803084,187664,92286250,3057385,
16030065,1589483,16669462,22930232,4899762,60534590,1756057,194990,90220134,3002439,
16817462,1560290,16462743,22893676,4822543,61002233,1640839,203093,127758669,3069890,
16130631,1580529,16896346,22900151,4863798,60796439,1780144,212010,92424890,3512003,
16420859,1518073,16488421,22876656,4891918,60684884,1823434,185666,93391293,2798717,
16298204,1538534,16673643,22817678,4832237,60630383,1764382,198986,91566490,2887259,
16108209,1536351,16531748,22851533,4862651,60362133,1706847,179413,90729365,3038959,
16182653,1509489,16377088,22928456,4982716,60478165,1881561,195175,90473176,2937912,
17185982,1603025,16611964,22892936,4877488,61574549,1971434,238021,128224461,3131089,
16584362,1535278,16578738,23152935,5274979,61597563,1746696,200873,97678835,2800530,
16247662,1472822,16324696,22794960,4790945,60165293,1697671,192918,92389074,3034906,
16203373,1628111,16778094,23010004,4896136,60893601,1899691,191290,91661061,3222182,
16557241,1553334,16653219,22917097,4944754,61081043,1747843,184149,94448937,3045693,
15884692,1525103,16567786,22830295,4780733,60069537,1607280,226588,90839809,2866983,
16766883,1536832,16481058,22865889,4894767,61016034,1831759,224553,127866524,3193249,
15946741,1466902,16350818,22846057,4857730,60008191,1968659,251489,94057886,2885926,
